SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,reason
1585271561337001691,2025-06-25,199833,beko,Крупная техника,212973.876,2.427918,87718.73467,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=3
1585271561337001691,2025-06-25,206804,haier,Крупная техника,141982.584,1.707071,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=2
1585271561337001691,2025-06-25,212017,midea,Крупная техника,141982.584,1.707071,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=2
3674944142301961984,2025-06-25,221942,xiaomi,Малая техника,83650.788,1.005742,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=9
1585271561337001691,2025-06-26,199833,beko,Крупная техника,283985.964,3.237461,87718.73467,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=4
6629304165209877199,2025-06-26,198484,apple iphone,Смартфоны,286049.64,1.630585,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=12
1585271561337001691,2025-06-27,199833,beko,Крупная техника,138379.768,1.577539,87718.73467,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=2
1585271561336994462,2025-06-28,281079,samsung galaxy,Смартфоны,155813.664,1.021933,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=3
1585271561337033691,2025-06-29,216181,redmi,Смартфоны,167005.02,1.220016,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=7
8502803222098581352,2025-06-29,206413,gopro,Малая техника,113593.168,1.365742,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
2738194092690289087,2025-06-30,198484,apple iphone,Смартфоны,250339.062,1.427022,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=3
4692759896965140290,2025-06-30,214973,philips,Малая техника,173772.508,1.597655,108767.245042,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=14
1585271561336901830,2025-07-02,215234,poco,Смартфоны,190899.396,1.237262,154291.826538,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=9
2738194092690289068,2025-07-04,198484,apple iphone,Смартфоны,326634.684,1.861934,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=12
3035436765780351298,2025-07-05,205729,futurino,Детские одежда и обувь,121040.085,1.455277,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=5
1306055918923481346,2025-07-06,197548,asics,Одежда,111265.828,1.33776,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
1585271561337001691,2025-07-07,207328,hoco,Аудиотехника,176702.2,1.59389,110862.231773,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=4
1585271561337030686,2025-07-07,207501,hotpoint,Крупная техника,153539.776,1.846024,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=8
1729388589032331985,2025-07-07,227000,деревенские лакомства,Корм для собак,91741.812,1.103021,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=3
1729388589032331985,2025-07-10,213652,nordfrost,Крупная техника,91742.253,1.103026,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=3
1585271561336939603,2025-07-11,207447,honor,Смартфоны,254133.72,1.856515,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=9
6341074104264854133,2025-07-11,242139,яндекс,Аудиотехника,125443.32,1.131524,110862.231773,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=19
6629304165209876826,2025-07-11,216387,revyline,Малая техника,108328.348,1.302443,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
4844634155853,2025-07-12,210322,lg,Крупная техника,111424.904,1.339673,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=4
6701361217345430160,2025-07-17,219383,tefal,Малая техника,106581.41,1.281439,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=13
6629304165209877571,2025-07-22,216181,redmi,Смартфоны,173992.023,1.271058,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=9
1297043019275485478,2025-07-23,369276,iqoo,Смартфоны,142407.895,1.040328,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=7
2676102810245518080,2025-07-27,216181,redmi,Смартфоны,190959.24,1.395008,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=8
1585271561336901830,2025-07-28,198484,apple iphone,Смартфоны,204499.38,1.165719,175427.606026,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=12
4692759896965140290,2025-07-29,214973,philips,Малая техника,135159.488,1.242649,108767.245042,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=16
6196960145816224833,2025-07-29,221942,xiaomi,Смарт-часы и браслеты,160889.316,1.934388,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=6
8656829890936839488,2025-07-29,208375,jbl (аудиотехника),Аудиотехника,205187.626,1.850834,110862.231773,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=2
7791239233038936448,2025-07-31,215234,poco,Смартфоны,203521.356,1.319068,154291.826538,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=18
8656829890936839488,2025-07-31,207447,honor,Смартфоны,205789.642,1.503349,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=2
6341074104264855368,2025-08-03,216181,redmi,Смартфоны,164739.306,1.203465,136887.510649,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=6
3747000630363940378,2025-08-04,281079,samsung galaxy,Смартфоны,258898.22,1.698032,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=14
3747000630363940378,2025-08-05,281079,samsung galaxy,Смартфоны,186865.72,1.225594,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=10
8872102004503143591,2025-08-05,203935,edifier,Аудиотехника,293730.784,2.649512,110862.231773,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=category; row_count=8
6701361217345430821,2025-08-06,207543,huawei,Смарт-часы и браслеты,139732.572,1.680019,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=7
1585271561337011960,2025-08-07,239355,триколор,Крупная техника,101702.754,1.222782,83173.223575,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=global; row_count=6
3458771572229117194,2025-08-09,215234,poco,Смартфоны,158397.22,1.026608,154291.826538,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=10
5413337214202462653,2025-08-09,281079,samsung galaxy,Смартфоны,157718.589,1.034427,152469.548181,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=3
792639191900656652,2025-08-11,219222,tamron,Малая техника,92317.114,1.018019,90683.131296,daily_ots выше robust-z порога 3.5 по log1p(daily_ots); threshold_source=brand; row_count=2
